Sector,Company,Ticker,S.No.,CMP
                    Rs.,All time high
                    Rs.,Quarter growing perc
                    %,DFLH
                    %,Mar Cap
                    Rs.Cr.,NP Qtr
                    Rs.Cr.,P/E,10Yrs PE,Debt / Eq,ROCE
                    %,ROE
                    %,CMP / BV,NP PY Qtr
                    Rs.Cr.,NP Ann
                    Rs.Cr.,Up
                    %
"Ferrous Metals Companies","JSW Steel","JSWSTEEL","JSW Steel","1162.20","1223.90","307.43","5.04","284210.66","1646.00","46.49","17.60","1.22","8.11","4.94","3.43","404.00","3491.00","32.13"
"Ferrous Metals Companies","Tata Steel","TATASTEEL","Tata Steel","167.11","187.00","319.47","10.64","208612.22","3183.09","28.38","9.93","1.01","8.83","3.89","2.20","758.84","3173.78","36.31"
"Ferrous Metals Companies","Jindal Steel","JINDALSTEL","Jindal Steel","1006.80","1098.30","-26.19","8.33","102702.47","635.08","28.55","16.31","0.39","10.67","7.68","2.07","860.47","2845.68","39.19"
"Ferrous Metals Companies","Jindal Stain.","JSL","Jindal Stain.","755.40","848.00","32.57","10.92","62276.66","807.92","22.57","14.55","0.38","18.16","16.15","3.44","609.42","2499.72","52.11"
"Ferrous Metals Companies","S A I L","SAIL","S A I L","132.54","293.00","-53.33","54.76","54745.98","418.72","19.67","11.44","0.58","6.76","4.54","0.94","897.15","2371.80","33.68"
"Ferrous Metals Companies","KIOCL","KIOCL","KIOCL","339.65","634.55","-75.21","46.47","20642.27","-17.16","","87.12","0.11","-9.48","-11.27","12.45","-69.21","-204.58","80.52"
"Ferrous Metals Companies","Sarda Energy","SARDAEN","Sarda Energy","475.85","639.95","61.07","25.64","16768.06","327.77","15.77","7.30","0.38","15.27","13.44","2.40","203.49","702.19","19.98"
"Ferrous Metals Companies","NMDC Steel","NSLNISP","NMDC Steel","41.13","73.70","-80.72","44.19","12053.58","-114.78","","","0.41","-12.97","-16.60","0.93","-595.37","-2373.78","45.08"
"Ferrous Metals Companies","Kirl. Ferrous","KIRLFER","Kirl. Ferrous","477.90","830.00","8.75","42.42","7878.44","92.34","22.84","15.43","0.36","12.64","9.58","2.17","84.91","317.28","12.98"
"Ferrous Metals Companies","Indian Metals","IMFA","Indian Metals","1322.10","1415.00","-22.08","6.57","7133.27","97.56","21.59","8.51","0.17","21.29","17.01","2.84","125.21","379.32","140.47"
"Ferrous Metals Companies","Jai Balaji Inds.","JAIBALAJI","Jai Balaji Inds.","64.69","262.80","-82.71","75.38","5901.60","26.48","20.15","16.59","0.21","36.08","30.74","2.66","153.16","557.88","1.41"
"Ferrous Metals Companies","Maithan Alloys","MAITHANALL","Maithan Alloys","942.05","1595.90","-183.41","40.97","2742.45","-119.02","6.16","6.72","0.11","27.95","21.99","0.67","142.70","630.91","12.95"
"Ferrous Metals Companies","Prakash Industri","PRAKASH","Prakash Industri","131.35","309.88","-31.88","57.61","2352.24","61.57","7.18","8.12","0.10","11.24","11.15","0.69","90.39","355.45","0.81"
"Ferrous Metals Companies","Mukand","MUKANDLTD","Mukand","132.89","212.80","-60.90","37.55","1920.20","9.88","29.66","18.76","1.89","9.91","7.84","2.01","25.27","75.89","57.45"
