Sector,Company,Ticker,S.No.,CMP
                    Rs.,All time high
                    Rs.,Quarter growing perc
                    %,DFLH
                    %,Mar Cap
                    Rs.Cr.,NP Qtr
                    Rs.Cr.,P/E,10Yrs PE,Debt / Eq,ROCE
                    %,ROE
                    %,CMP / BV,NP PY Qtr
                    Rs.Cr.,NP Ann
                    Rs.Cr.,Up
                    %
"IT - Hardware Companies","Moschip Tech.","MOSCHIP","Moschip Tech.","203.05","326.80","24.87","37.87","3912.63","12.15","91.42","183.14","0.13","11.93","11.17","10.61","9.73","33.46","62.05"
"IT - Hardware Companies","GNG Electronics","EBGNG","GNG Electronics","315.20","401.70","41.63","21.53","3593.64","32.66","45.82","47.40","0.32","19.84","35.33","5.38","23.06","69.03","5.12"
"IT - Hardware Companies","Rashi Peripheral","RPTECH","Rashi Peripheral","325.00","474.90","-15.24","31.56","2141.74","59.22","10.65","10.15","0.52","14.19","12.52","1.15","69.87","209.71","32.65"
"IT - Hardware Companies","NELCO","NELCO","NELCO","810.50","1502.75","-60.49","46.07","1849.56","1.62","431.13","51.52","0.56","14.38","7.63","14.39","4.10","9.53","14.65"
"IT - Hardware Companies","D-Link India","DLINKINDIA","D-Link India","434.65","728.80","-5.01","40.36","1543.22","25.38","14.88","15.08","0.02","28.34","21.31","3.27","26.72","104.26","24.38"
"IT - Hardware Companies","Bharat Global","521238","Bharat Global","143.20","1702.95","-98.32","91.59","1450.04","0.17","291.17","131.99","0.42","11.29","11.00","7.55","10.11","16.03","101.55"
"IT - Hardware Companies","Control Print","CONTROLPR","Control Print","726.25","1080.00","37.91","32.75","1161.58","18.59","11.61","17.73","0.02","18.46","26.86","2.59","13.48","100.05","32.77"
"IT - Hardware Companies","TVS Elec.","TVSELECT","TVS Elec.","474.90","740.85","-217.42","35.90","885.70","1.55","","49.23","0.69","-1.88","-5.61","9.70","-1.32","-3.79","74.95"
"IT - Hardware Companies","HCL Infosystems","HCL-INSYS","HCL Infosystems","13.97","297.76","-29.85","95.31","459.91","-5.50","","","","-35.14","","","-7.84","-21.11","18.59"
"IT - Hardware Companies","DC Infotech","DCI","DC Infotech","241.65","458.25","35.77","47.27","386.64","5.01","22.99","26.12","0.73","25.52","23.61","4.36","3.69","14.50","20.01"
"IT - Hardware Companies","B C C Fuba India","517246","B C C Fuba India","189.20","218.85","57.61","13.55","289.67","1.45","61.37","34.66","0.57","18.72","17.41","11.18","0.92","3.74","123.46"
"IT - Hardware Companies","Esconet","ESCONET","Esconet","164.75","539.95","-32.27","69.49","217.41","1.49","35.18","42.49","0.32","17.85","13.05","2.92","2.20","6.89","9.72"
"IT - Hardware Companies","Vintron Info.","517393","Vintron Info.","13.51","58.42","-2573.68","76.87","197.65","4.70","3.59","8.88","0.15","117.18","114.15","1.92","-0.19","47.92","34.16"
"IT - Hardware Companies","Slone Infosys.","SLONE","Slone Infosys.","267.10","476.00","-2.54","43.89","140.74","4.60","19.31","18.81","0.07","37.93","28.36","3.24","4.72","7.41","21.19"
"IT - Hardware Companies","Smartlink Hold.","SMARTLINK","Smartlink Hold.","135.83","355.75","177.61","61.82","135.49","1.86","13.00","24.06","0.02","3.35","3.42","0.68","0.67","6.61","13.76"
"IT - Hardware Companies","Aztec Fluids","544177","Aztec Fluids","98.00","135.00","-18.20","27.41","133.28","3.64","20.35","15.38","0.19","22.30","18.44","2.49","4.45","7.36","40.00"
"IT - Hardware Companies","Newjaisa Tech","NEWJAISA","Newjaisa Tech","29.65","175.00","-238.81","83.06","105.76","-4.90","","23.90","0.18","-0.44","-1.70","1.52","3.53","-1.13","9.61"
"IT - Hardware Companies","Cerebra Integr.","CEREBRAINT","Cerebra Integr.","6.79","99.00","-53.20","93.14","82.29","-9.65","","27.53","0.29","-15.41","-16.89","0.58","-20.62","-47.26","70.18"
"IT - Hardware Companies","Richa Info","RICHA","Richa Info","73.10","127.00","1197.67","42.44","75.50","5.58","7.27","20.92","0.08","12.10","9.23","0.58","0.43","5.24","46.20"
"IT - Hardware Companies","Fine Line Cir.","517264","Fine Line Cir.","74.25","114.65","75.00","35.24","35.71","0.07","170.05","82.63","0.73","4.45","2.30","3.97","0.04","0.20","41.83"
"IT - Hardware Companies","Vama Industries","512175","Vama Industries","4.68","33.90","-312.50","86.19","24.59","-0.17","","30.14","0.08","9.66","10.18","1.50","0.08","1.80","6.12"
"IT - Hardware Companies","ACI Infocom","517356","ACI Infocom","1.50","23.25","-98.11","93.55","16.57","-0.01","","80.00","0.00","-5.89","-5.83","1.02","-0.53","-0.53","14.50"
"IT - Hardware Companies","Brisk Technovisi","544101","Brisk Technovisi","82.00","208.50","-49.40","60.67","16.40","0.42","29.29","16.94","0.01","18.75","13.99","2.28","0.83","0.97","2.42"
"IT - Hardware Companies","Compuage Info.","COMPINFO","Compuage Info.","1.82","62.87","-1417.55","97.11","15.61","-137.42","","8.66","5.71","-11.29","","","10.43","-374.77","44.44"
"IT - Hardware Companies","Computer Point","507833","Computer Point","4.51","18.51","460.00","75.63","13.53","-0.28","","41.00","0.00","0.06","-0.36","0.41","-0.05","-0.12","11.08"
"IT - Hardware Companies","VCU Data Managem","536672","VCU Data Managem","5.60","65.20","-100.00","91.41","8.68","0.00","","41.76","0.00","0.33","0.27","0.29","0.10","0.08","7.69"
