Sector,Company,Ticker,S.No.,CMP
                    Rs.,All time high
                    Rs.,Quarter growing perc
                    %,DFLH
                    %,Mar Cap
                    Rs.Cr.,NP Qtr
                    Rs.Cr.,P/E,10Yrs PE,Debt / Eq,ROCE
                    %,ROE
                    %,CMP / BV,NP PY Qtr
                    Rs.Cr.,NP Ann
                    Rs.Cr.,Up
                    %
"Paper, Forest & Jute Products Companies","A B Real Estate","ABREL","A B Real Estate","1750.30","3141.95","-731.91","44.29","19550.09","-17.82","","53.78","1.45","-0.16","-2.45","5.17","2.82","-157.44","12.01"
"Paper, Forest & Jute Products Companies","JK Paper","JKPAPER","JK Paper","369.20","639.15","-39.56","42.24","6254.33","77.88","21.02","9.34","0.39","8.63","7.04","1.14","128.85","412.11","33.89"
"Paper, Forest & Jute Products Companies","West Coast Paper","WSTCSTPAPR","West Coast Paper","411.45","815.00","-88.16","49.52","2717.63","11.91","15.09","7.22","0.13","11.47","9.49","0.77","100.57","335.64","7.67"
"Paper, Forest & Jute Products Companies","Seshasayee Paper","SESHAPAPER","Seshasayee Paper","238.10","421.85","-21.29","43.56","1501.65","22.41","18.42","9.23","0.04","7.04","5.60","0.74","28.47","109.17","0.70"
"Paper, Forest & Jute Products Companies","Andhra Paper","ANDHRAPAP","Andhra Paper","66.56","135.00","-148.56","50.70","1323.55","-20.26","64.41","10.48","0.14","4.50","3.07","0.69","41.72","88.91","2.24"
"Paper, Forest & Jute Products Companies","T N Newsprint","TNPL","T N Newsprint","140.69","499.00","212.74","71.81","973.72","8.10","","8.77","0.90","5.54","-0.14","0.47","2.59","3.72","22.29"
"Paper, Forest & Jute Products Companies","Pudumjee Paper","PDMJEPAPER","Pudumjee Paper","97.44","232.20","-43.15","58.04","925.19","16.92","10.10","8.92","0.02","22.35","16.74","1.47","29.76","95.76","7.91"
"Paper, Forest & Jute Products Companies","Kuantum Papers","KUANTUM","Kuantum Papers","92.59","225.85","-80.70","59.00","807.97","5.77","12.45","7.61","0.56","11.36","10.07","0.67","29.89","115.18","0.64"
"Paper, Forest & Jute Products Companies","N R Agarwal Inds","NRAIL","N R Agarwal Inds","457.60","616.00","-117.63","25.71","778.79","-1.47","32.08","6.60","0.93","5.62","2.35","0.99","8.34","17.65","122.41"
"Paper, Forest & Jute Products Companies","Gloster Ltd","GLOSTERLTD","Gloster Ltd","637.65","1012.41","-324.93","37.02","697.80","7.67","76.01","11.60","0.70","1.55","-1.31","0.65","-3.41","-13.35","19.95"
"Paper, Forest & Jute Products Companies","Satia Industries","SATIA","Satia Industries","69.12","164.35","-298.86","57.94","691.20","-24.52","11.09","7.53","0.28","10.30","11.89","0.66","12.33","118.62","7.33"
"Paper, Forest & Jute Products Companies","Cheviot Company","CHEVIOT","Cheviot Company","1066.40","2055.55","-19.70","48.12","622.98","14.84","11.07","10.10","0.01","10.01","7.75","0.89","18.48","57.74","9.58"
"Paper, Forest & Jute Products Companies","Emami Paper","EMAMIPAP","Emami Paper","88.80","288.00","-13.31","69.17","537.24","6.58","29.02","20.68","1.39","6.58","4.80","0.92","7.59","26.01","13.85"
"Paper, Forest & Jute Products Companies","Orient Paper","ORIENTPPR","Orient Paper","24.43","63.79","55.65","61.70","518.37","-30.60","","13.57","0.16","-2.60","-3.08","0.33","-19.66","-54.66","17.40"
"Paper, Forest & Jute Products Companies","Pakka","PAKKA","Pakka","106.63","399.00","-112.50","73.28","479.28","-2.11","56.79","18.43","0.66","11.21","11.20","1.06","16.88","37.52","0.59"
"Paper, Forest & Jute Products Companies","Shree Rama News.","RAMANEWS","Shree Rama News.","30.14","58.30","1.49","48.30","444.63","-10.20","","48.08","","1.87","-73.31","","-10.05","-106.29","109.74"
"Paper, Forest & Jute Products Companies","Genus Paper & Bo","GENUSPAPER","Genus Paper & Bo","13.97","30.30","-1009.52","53.89","359.20","3.82","50.73","19.19","0.85","4.73","0.61","0.69","-0.42","2.93","4.64"
"Paper, Forest & Jute Products Companies","Ruchira Papers","RUCHIRA","Ruchira Papers","119.21","199.82","-11.71","40.34","355.78","15.60","5.27","7.53","0.38","18.71","15.29","0.71","17.67","67.33","11.72"
"Paper, Forest & Jute Products Companies","Nikita Greentech Recycling","NIKITA","Nikita Greentech Recycling","134.50","155.00","-37.65","13.23","331.78","6.31","17.27","9.49","1.38","16.56","24.86","1.91","10.12","23.02","74.34"
"Paper, Forest & Jute Products Companies","Ludlow Jute","526179","Ludlow Jute","307.55","555.00","-295.44","44.59","331.23","6.86","29.39","32.42","0.83","-0.56","-6.34","1.84","-3.51","-10.58","89.67"
"Paper, Forest & Jute Products Companies","S. V. J. Enterp.","543799","S. V. J. Enterp.","487.00","519.00","-69.44","6.17","271.31","0.11","935.55","100.53","0.30","5.76","3.42","17.07","0.36","0.53","278.55"
"Paper, Forest & Jute Products Companies","Star Paper Mills","STARPAPER","Star Paper Mills","163.56","318.55","-10.33","48.65","255.32","13.02","6.62","5.34","0.01","7.76","5.91","0.36","14.52","41.14","12.03"
