Sector,Company,Ticker,S.No.,CMP
                    Rs.,All time high
                    Rs.,Quarter growing perc
                    %,DFLH
                    %,Mar Cap
                    Rs.Cr.,NP Qtr
                    Rs.Cr.,P/E,10Yrs PE,Debt / Eq,ROCE
                    %,ROE
                    %,CMP / BV,NP PY Qtr
                    Rs.Cr.,NP Ann
                    Rs.Cr.,Up
                    %
"Pharmaceuticals & Biotechnology Companies","Sun Pharma.Inds.","SUNPHARMA","Sun Pharma.Inds.","1805.30","1960.35","2.88","7.91","433151.94","3124.95","37.52","30.40","0.07","20.21","16.86","5.57","3037.33","10964.75","16.68"
"Pharmaceuticals & Biotechnology Companies","Divi's Lab.","DIVISLAB","Divi's Lab.","6473.50","7077.70","35.10","8.54","171851.09","689.00","69.16","45.35","0.01","20.44","15.35","11.15","510.00","2191.00","31.00"
"Pharmaceuticals & Biotechnology Companies","Torrent Pharma.","TORNTPHARM","Torrent Pharma.","3785.90","3882.20","30.46","2.48","128126.30","591.00","59.14","40.34","0.33","27.05","26.52","15.16","453.00","1911.25","31.16"
"Pharmaceuticals & Biotechnology Companies","Cipla","CIPLA","Cipla","1520.80","1702.05","3.71","10.65","122845.85","1353.37","22.58","29.78","0.01","22.72","17.77","3.73","1305.01","5269.20","16.09"
"Pharmaceuticals & Biotechnology Companies","Dr Reddy's Labs","DRREDDY","Dr Reddy's Labs","1275.20","1421.49","-0.38","10.29","106430.89","1336.80","18.44","26.25","0.16","22.69","17.96","2.96","1341.90","5725.20","25.02"
"Pharmaceuticals & Biotechnology Companies","Lupin","LUPIN","Lupin","2098.80","2403.45","72.76","12.68","95865.25","1484.83","22.17","33.22","0.32","21.30","20.62","4.88","859.48","3306.26","18.31"
"Pharmaceuticals & Biotechnology Companies","Zydus Lifesci.","ZYDUSLIFE","Zydus Lifesci.","931.45","1324.30","34.60","29.66","93725.67","1238.60","18.64","22.20","0.38","24.31","21.21","3.70","920.20","4672.60","17.16"
"Pharmaceuticals & Biotechnology Companies","Mankind Pharma","MANKIND","Mankind Pharma","2205.50","3054.80","-21.05","27.80","91044.16","520.18","52.07","50.54","0.55","15.98","14.68","5.96","658.88","2011.12","4.27"
"Pharmaceuticals & Biotechnology Companies","Aurobindo Pharma","AUROPHARMA","Aurobindo Pharma","1217.60","1592.55","3.82","23.54","70718.41","848.13","20.66","17.27","0.22","14.18","11.08","2.02","816.95","3483.57","22.45"
"Pharmaceuticals & Biotechnology Companies","Alkem Lab","ALKEM","Alkem Lab","5675.50","6440.00","10.99","11.87","67859.12","779.11","28.87","28.39","0.18","20.38","19.39","5.08","701.96","2215.38","26.36"
"Pharmaceuticals & Biotechnology Companies","Abbott India","ABBOTINDIA","Abbott India","28945.00","37000.00","15.80","21.77","61508.13","415.27","40.76","47.32","0.05","46.25","35.68","15.33","358.61","1414.44","14.59"
"Pharmaceuticals & Biotechnology Companies","Glenmark Pharma.","GLENMARK","Glenmark Pharma.","1968.20","2286.15","72.20","13.91","55542.76","610.43","22.09","17.79","0.13","19.40","15.79","5.80","354.48","1047.15","54.40"
"Pharmaceuticals & Biotechnology Companies","Laurus Labs","LAURUSLABS","Laurus Labs","1026.10","1040.20","874.89","1.36","55394.68","194.49","80.99","32.32","0.46","9.15","7.45","11.53","19.95","358.34","104.75"
"Pharmaceuticals & Biotechnology Companies","Biocon","BIOCON","Biocon","392.65","487.75","390.04","19.50","52495.88","132.80","110.64","46.98","0.62","6.25","4.76","1.96","27.10","1429.40","35.02"
"Pharmaceuticals & Biotechnology Companies","Glaxosmi. Pharma","GLAXO","Glaxosmi. Pharma","2545.60","3515.95","1.98","27.60","43124.00","257.49","45.24","59.18","0.02","63.25","46.87","25.25","252.50","927.58","32.51"
"Pharmaceuticals & Biotechnology Companies","Ipca Labs.","IPCALAB","Ipca Labs.","1459.10","1757.65","14.15","16.99","37017.98","280.53","37.40","37.53","0.17","14.72","12.75","4.98","245.75","785.24","24.90"
