Symbol,Type,Sector,Mcap
TMCV,Tata Motors,"Agricultural, Commercial & Construction Vehicles Companies",
ASHOKLEY,Ashok Leyland,"Agricultural, Commercial & Construction Vehicles Companies",
ESCORTS,Escorts Kubota,"Agricultural, Commercial & Construction Vehicles Companies",
BEML,BEML Ltd,"Agricultural, Commercial & Construction Vehicles Companies",
ACE,Action Const.Eq.,"Agricultural, Commercial & Construction Vehicles Companies",
AJAXENGG,Ajax Engineering,"Agricultural, Commercial & Construction Vehicles Companies",
SMLMAH,SML Mahindra,"Agricultural, Commercial & Construction Vehicles Companies",
VSTTILLERS,VST Till. Tract.,"Agricultural, Commercial & Construction Vehicles Companies",
TIL,TIL,"Agricultural, Commercial & Construction Vehicles Companies",
ATULAUTO,Atul Auto,"Agricultural, Commercial & Construction Vehicles Companies",
INDOFARM,Indo Farm Equip.,"Agricultural, Commercial & Construction Vehicles Companies",
JKIPL,Jinkushal Indus.,"Agricultural, Commercial & Construction Vehicles Companies",
505690,Brady & Morris,"Agricultural, Commercial & Construction Vehicles Companies",
GURUNANAK,Gurunanak Agri.,"Agricultural, Commercial & Construction Vehicles Companies",
TATACONSUM,Tata Consumer,Agricultural Food & other Products Companies,
MARICO,Marico,Agricultural Food & other Products Companies,
PATANJALI,Patanjali Foods,Agricultural Food & other Products Companies,
AWL,AWL Agri Busine.,Agricultural Food & other Products Companies,
LTFOODS,L T Foods,Agricultural Food & other Products Companies,
CCL,CCL Products,Agricultural Food & other Products Companies,
KRBL,KRBL,Agricultural Food & other Products Companies,
BALRAMCHIN,Balrampur Chini,Agricultural Food & other Products Companies,
TRIVENI,Triven.Engg.Ind.,Agricultural Food & other Products Companies,
GOKULAGRO,Gokul Agro,Agricultural Food & other Products Companies,
RENUKA,Sh.Renuka Sugar,Agricultural Food & other Products Companies,
GAEL,Guj. Ambuja Exp,Agricultural Food & other Products Companies,
KSCL,Kaveri Seed Co.,Agricultural Food & other Products Companies,
BANARISUG,Bannari Amm.Sug.,Agricultural Food & other Products Companies,
TRUALT,TruAlt Bioenergy,Agricultural Food & other Products Companies,
519477,CIAN Agro,Agricultural Food & other Products Companies,
GRMOVER,GRM Overseas,Agricultural Food & other Products Companies,
SUNDROP,Sundrop Brands,Agricultural Food & other Products Companies,
BAJAJHIND,Bajaj Hindusthan,Agricultural Food & other Products Companies,
DALMIASUG,Dalmia Bharat,Agricultural Food & other Products Companies,
SANSTAR,Sanstar,Agricultural Food & other Products Companies,
DCMSRIND,DCM Shriram Inds,Agricultural Food & other Products Companies,
CLSEL,Chamanlal Setia,Agricultural Food & other Products Companies,
MVKAGRO,M.V.K. Agro,Agricultural Food & other Products Companies,
