Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,013","1,324","1,407","1,235","1,202","1,405","1,349","1,636","1,982","1,783"
Expenses+,670,771,723,532,467,473,521,592,696,716
Operating Profit,344,552,684,703,735,932,828,"1,044","1,287","1,067"
OPM %,34%,42%,49%,57%,61%,66%,61%,64%,65%,60%
Other Income+,1,0,0,0,4,3,5,5,4,273
Interest,0,5,6,6,6,5,4,6,6,5
Depreciation,8,26,32,37,37,36,34,35,40,42
Profit before tax,337,522,646,661,696,895,794,"1,008","1,245","1,293"
Tax %,34%,33%,31%,25%,24%,25%,25%,23%,25%,
Net Profit+,223,349,447,494,526,673,596,780,931,971
EPS in Rs,124.01,193.64,248.22,274.67,292.38,23.36,20.71,27.09,32.26,33.65
Dividend Payout %,22%,57%,67%,67%,27%,49%,50%,50%,74%,
