Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,180,188,193,195,190,202,185,54,51,94,108,113,116
Expenses+,140,145,145,151,151,158,150,61,53,73,78,83,81
Operating Profit,39,44,48,44,39,44,35,-7,-2,21,30,30,35
OPM %,22%,23%,25%,23%,20%,22%,19%,-13%,-4%,23%,28%,26%,30%
Other Income+,17,6,15,6,6,8,6,7,-30,12,36,41,31
Interest,49,52,38,19,16,14,14,14,0,0,21,40,41
Depreciation,25,32,31,31,30,28,26,19,3,4,4,4,4
Profit before tax,-18,-33,-6,0,-2,10,1,-33,-36,30,43,27,21
Tax %,33%,18%,17%,914%,242%,65%,"1,089%",-1%,-4%,18%,25%,36%,
Net Profit+,-24,-39,-7,-4,-6,4,-8,-33,-34,25,32,18,11
EPS in Rs,-4.35,-12.73,3.74,-2.02,-3.31,2.05,-4.34,-19.06,-19.94,14.19,18.34,10.13,6.58
Dividend Payout %,-46%,-10%,36%,-66%,-50%,81%,0%,0%,0%,18%,14%,10%,
