Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,239,356,449,489,618,530,300,272,316,286,220,130,120
Expenses+,204,307,372,439,544,447,294,247,266,239,268,135,120
Operating Profit,35,49,77,50,74,84,7,26,51,48,-47,-5,-0
OPM %,14%,14%,17%,10%,12%,16%,2%,9%,16%,17%,-22%,-4%,-0%
Other Income+,9,5,-12,4,1,6,-317,3,5,-11,9,5,2
Interest,7,11,15,15,19,32,31,29,26,18,16,14,14
Depreciation,15,17,21,22,24,30,25,25,24,25,21,14,13
Profit before tax,22,26,29,18,33,27,-366,-25,6,-7,-75,-27,-25
Tax %,0%,3%,13%,47%,36%,61%,-2%,1%,107%,100%,-5%,-5%,
Net Profit+,22,25,26,10,21,11,-359,-25,-0,-14,-71,-26,-21
EPS in Rs,1.46,1.67,1.57,0.59,1.28,0.66,-22.08,-1.56,-0.03,-0.83,-4.38,-1.60,-1.29
Dividend Payout %,22%,0%,0%,0%,23%,0%,0%,0%,0%,0%,0%,0%,
