Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,295,354,448,"1,098",472,33,184,968,"2,393","1,998"
Expenses+,281,329,434,"1,055",448,25,181,963,"2,384","1,982"
Operating Profit,14,25,14,43,24,8,3,5,9,16
OPM %,5%,7%,3%,4%,5%,23%,2%,1%,0%,1%
Other Income+,-0,0,4,5,2,1,0,8,14,16
Interest,4,2,5,25,5,2,2,2,0,0
Depreciation,0,0,0,0,0,0,0,0,0,0
Profit before tax,10,23,13,23,20,7,2,11,22,32
Tax %,23%,16%,21%,22%,24%,18%,23%,17%,12%,
Net Profit+,8,19,10,18,15,5,1,9,20,28
EPS in Rs,5.89,14.28,7.32,12.85,11.30,3.94,0.88,6.72,14.35,20.49
Dividend Payout %,0%,0%,0%,0%,4%,25%,57%,15%,7%,
