Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,093","1,709","1,935","2,616","3,393","3,488","4,115","4,101","5,036","5,087","5,369","5,612","5,964"
Expenses+,982,"1,526","1,704","2,284","2,708","3,078","3,659","3,639","4,722","4,692","4,909","4,978","5,219"
Operating Profit,112,182,231,332,684,410,456,461,314,395,460,634,745
OPM %,10%,11%,12%,13%,20%,12%,11%,11%,6%,8%,9%,11%,12%
Other Income+,4,9,20,23,49,59,71,93,54,79,136,166,190
Interest,4,3,3,5,5,5,4,3,4,4,3,4,2
Depreciation,6,9,10,14,24,36,38,41,41,43,56,59,62
Profit before tax,105,180,238,337,704,428,485,510,324,427,537,738,871
Tax %,34%,35%,33%,33%,34%,28%,20%,22%,24%,27%,27%,24%,
Net Profit+,70,116,158,226,466,307,386,397,245,312,394,557,652
EPS in Rs,5.18,8.52,11.56,15.83,32.78,20.08,25.43,26.43,16.26,20.45,26.21,38.81,45.40
Dividend Payout %,19%,22%,20%,19%,12%,20%,20%,24%,38%,31%,26%,23%,
