Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,1,5,52,58,100,77,68,69,84,212,124,180,181
Expenses+,1,1,47,50,68,71,60,56,62,70,106,139,142
Operating Profit,0,4,5,8,32,6,8,12,22,142,18,40,39
OPM %,8%,80%,9%,14%,32%,8%,12%,18%,26%,67%,14%,23%,22%
Other Income+,0,0,3,3,4,11,14,25,31,18,12,13,13
Interest,0,0,5,4,3,2,3,3,5,3,4,4,3
Depreciation,0,0,2,2,1,2,4,3,2,2,4,5,5
Profit before tax,0,3,1,5,31,13,16,32,45,154,22,45,44
Tax %,-38%,5%,91%,2%,19%,4%,-11%,8%,11%,21%,8%,16%,
Net Profit+,3,7,0,6,28,13,18,30,40,122,20,38,36
EPS in Rs,0.11,0.24,0.01,0.20,0.85,0.33,0.55,0.74,1.11,4.09,0.44,1.03,0.96
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
