Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,642,844,890,913,"1,427","1,988","1,818","2,129","2,815","2,971"
Expenses+,605,797,817,857,"1,359","1,850","1,695","1,938","2,611","2,767"
Operating Profit,37,47,74,56,69,138,124,191,205,204
OPM %,6%,6%,8%,6%,5%,7%,7%,9%,7%,7%
Other Income+,5,7,8,7,28,8,7,7,9,10
Interest,21,21,19,15,26,18,20,33,31,27
Depreciation,9,11,11,14,13,15,25,36,46,47
Profit before tax,11,22,52,35,58,113,85,130,137,141
Tax %,14%,18%,20%,26%,27%,25%,25%,26%,25%,
Net Profit+,10,18,41,26,42,85,64,96,103,112
EPS in Rs,0.69,1.14,2.37,1.35,1.75,3.51,2.74,3.32,3.22,3.49
Dividend Payout %,14%,-0%,5%,-0%,29%,14%,18%,8%,8%,
