Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,735.57","4,331.19","3,784.38","3,665.96","1,910.96","1,840.89","1,642.59",1.84,1.26,1.50,0.00,0.00,0.00
Expenses+,"4,451.65","4,182.31","3,467.97","3,342.18","1,573.64","1,668.59","1,617.80",16.53,4.50,57.63,7.29,1.72,2.06
Operating Profit,283.92,148.88,316.41,323.78,337.32,172.30,24.79,-14.69,-3.24,-56.13,-7.29,-1.72,-2.06
OPM %,6.00%,3.44%,8.36%,8.83%,17.65%,9.36%,1.51%,-798.37%,-257.14%,"-3,742.00%",,,
Other Income+,-114.32,32.15,26.42,56.53,13.04,"1,422.02",-834.76,300.47,185.30,-90.81,0.14,8.55,0.02
Interest,621.61,597.97,643.46,679.94,202.76,179.14,213.35,5.12,3.37,3.62,0.00,0.00,0.00
Depreciation,300.23,258.10,256.81,236.89,109.96,157.61,165.91,0.84,0.26,0.16,0.00,0.00,0.00
Profit before tax,-752.24,-675.04,-557.44,-536.52,37.64,"1,257.57","-1,189.23",279.82,178.43,-150.72,-7.15,6.83,-2.04
Tax %,-11.84%,-3.83%,-22.58%,-12.56%,39.90%,13.36%,5.54%,0.00%,0.00%,0.00%,0.00%,0.00%,
Net Profit+,-663.18,-649.18,-431.59,-469.13,22.62,"1,089.53","-1,255.12",279.82,178.43,-150.72,-7.15,6.83,-2.04
EPS in Rs,-220.66,-216.28,-140.85,-146.95,8.33,347.49,-395.75,93.36,56.89,-48.05,-2.28,2.18,-0.65
Dividend Payout %,-1.36%,-1.39%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
