Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,512,616,713,853,"1,017","1,200","1,188"
Expenses+,308,289,443,509,585,694,706
Operating Profit,205,327,270,344,432,506,482
OPM %,40%,53%,38%,40%,42%,42%,41%
Other Income+,32,14,23,37,37,44,51
Interest,1,1,6,5,3,1,0
Depreciation,21,28,50,54,54,54,59
Profit before tax,214,313,238,322,413,495,474
Tax %,21%,25%,26%,25%,25%,25%,
Net Profit+,169,235,175,240,308,372,356
EPS in Rs,177.81,247.44,183.93,22.95,29.45,35.52,34.04
Dividend Payout %,22%,0%,3%,30%,30%,25%,
