Metric,Mar 2007,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,355,863,817,681,665,751,660,431,406,449,363,443,447
Expenses+,333,821,812,653,615,686,632,400,377,437,397,417,416
Operating Profit,22,42,5,28,50,65,28,31,30,12,-34,26,31
OPM %,6%,5%,1%,4%,7%,9%,4%,7%,7%,3%,-9%,6%,7%
Other Income+,11,9,12,30,21,12,26,7,17,30,14,22,21
Interest,10,42,51,54,50,50,48,37,23,18,14,12,12
Depreciation,9,21,19,22,24,20,20,16,12,12,12,11,11
Profit before tax,14,-12,-53,-18,-4,7,-12,-15,11,12,-46,25,29
Tax %,21%,-27%,4%,4%,112%,95%,22%,2%,-42%,-22%,6%,-7%,
Net Profit+,11,-9,-55,-19,-9,0,-15,-16,16,15,-49,27,31
EPS in Rs,6.69,-4.16,-25.93,-8.83,-4.02,0.15,-7.13,-7.32,7.66,6.94,-22.78,12.52,14.57
Dividend Payout %,25%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
