Metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,733","4,102","5,516","4,489","6,344","6,381"
Expenses+,"2,689","3,606","5,089","3,575","4,810","5,004"
Operating Profit,44,495,427,914,"1,534","1,377"
OPM %,2%,12%,8%,20%,24%,22%
Other Income+,-552,441,"2,304",755,"2,228",987
Interest,"1,530","1,354","1,350","1,477","1,571","1,566"
Depreciation,123,128,149,286,600,601
Profit before tax,"-2,161",-546,"1,232",-94,"1,591",197
Tax %,1%,19%,8%,36%,2%,
Net Profit+,"-2,185",-652,"1,139",-127,"1,552",183
EPS in Rs,,-10.73,19.60,-1.71,19.83,2.58
Dividend Payout %,0%,0%,0%,0%,0%,
