Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,4.66,4.95,5.94,7.71,1.20,4.88,8.30,8.32,7.73,7.78
Expenses+,3.94,3.59,4.76,6.81,4.43,8.32,6.86,7.95,10.74,10.89
Operating Profit,0.72,1.36,1.18,0.90,-3.23,-3.44,1.44,0.37,-3.01,-3.11
OPM %,15.45%,27.47%,19.87%,11.67%,-269.17%,-70.49%,17.35%,4.45%,-38.94%,-39.97%
Other Income+,0.11,0.07,0.08,0.02,0.04,-0.38,0.25,0.11,-0.06,-0.06
Interest,0.01,0.01,0.01,0.03,0.06,0.01,0.04,0.01,0.08,0.08
Depreciation,0.14,0.33,0.52,0.49,0.39,0.29,0.37,0.34,0.20,0.19
Profit before tax,0.68,1.09,0.73,0.40,-3.64,-4.12,1.28,0.13,-3.35,-3.44
Tax %,30.88%,25.69%,27.40%,42.50%,-0.55%,0.00%,-1.56%,184.62%,0.60%,
Net Profit+,0.47,0.81,0.53,0.24,-3.62,-4.12,1.30,-0.12,-3.38,-3.41
EPS in Rs,0.72,0.91,0.60,0.24,-3.55,-4.04,1.28,-0.12,-3.32,-3.35
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
