Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,148,343,717,939,"1,170",837,591,613,422,457,485,507,513
Expenses+,149,338,682,921,"1,151",832,584,605,409,441,466,489,495
Operating Profit,-1,6,35,18,19,5,7,9,13,16,20,18,17
OPM %,-1%,2%,5%,2%,2%,1%,1%,1%,3%,3%,4%,4%,3%
Other Income+,4,4,39,7,5,5,5,6,5,5,7,1,1
Interest,1,1,2,4,3,5,6,3,4,8,12,3,1
Depreciation,4,1,28,2,2,2,4,3,1,1,1,1,1
Profit before tax,-2,7,43,19,20,3,2,9,12,11,14,16,16
Tax %,-194%,13%,5%,29%,30%,-81%,1%,4%,-3%,24%,30%,19%,
Net Profit+,2,6,42,13,14,6,2,8,13,8,10,13,13
EPS in Rs,1.40,4.05,28.18,9.01,9.32,3.84,1.43,5.66,8.70,5.71,6.01,7.78,8.01
Dividend Payout %,72%,49%,7%,22%,21%,52%,70%,18%,11%,18%,0%,0%,
