Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,745,721,744,723,755,757,717,802,726,813,742,858,887
Expenses+,721,702,704,676,743,735,766,741,726,801,789,820,853
Operating Profit,24,19,40,47,12,22,-48,61,-0,12,-47,38,35
OPM %,3%,3%,5%,7%,2%,3%,-7%,8%,-0%,1%,-6%,4%,4%
Other Income+,48,22,28,26,48,42,61,15,31,-5,106,150,153
Interest,51,51,48,42,43,49,59,48,38,34,38,39,39
Depreciation,17,16,19,18,18,19,25,25,24,23,22,22,22
Profit before tax,4,-26,2,13,0,-4,-71,3,-31,-51,-0,126,126
Tax %,-32%,-10%,497%,57%,"-2,688%",-2%,16%,22%,-113%,3%,"-10,092%",-0%,
Net Profit+,5,-23,-7,17,34,-4,-102,19,24,-47,13,126,127
EPS in Rs,1.68,-7.92,-2.82,5.88,11.85,-1.22,-35.38,6.60,8.18,-16.32,4.50,43.81,43.80
Dividend Payout %,119%,-13%,-36%,7%,3%,-22%,0%,0%,0%,0%,0%,1%,
