Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,170.37,51.51,40.52,25.41,14.69,5.59,4.55,4.14,5.61,2.82,1.59,17.12,20.42
Expenses+,177.38,38.79,35.11,24.39,27.03,6.61,5.08,5.85,6.72,209.15,2.72,15.05,17.32
Operating Profit,-7.01,12.72,5.41,1.02,-12.34,-1.02,-0.53,-1.71,-1.11,-206.33,-1.13,2.07,3.10
OPM %,-4.11%,24.69%,13.35%,4.01%,-84.00%,-18.25%,-11.65%,-41.30%,-19.79%,"-7,316.67%",-71.07%,12.09%,15.18%
Other Income+,11.33,-2.40,3.92,5.55,1.39,-2.62,0.79,1.04,1.31,238.18,0.04,4.69,4.70
Interest,24.48,27.23,24.91,19.68,19.50,13.03,13.48,13.49,13.59,0.14,0.04,0.04,0.04
Depreciation,14.89,19.74,19.55,18.32,16.50,3.94,3.12,2.71,2.08,0.21,0.21,0.32,0.30
Profit before tax,-35.05,-36.65,-35.13,-31.43,-46.95,-20.61,-16.34,-16.87,-15.47,31.50,-1.34,6.40,7.46
Tax %,7.67%,3.19%,0.37%,0.29%,-36.68%,-103.74%,8.14%,-2.55%,16.94%,0.03%,-0.75%,0.00%,
Net Profit+,-37.74,-37.81,-35.26,-31.52,-29.73,0.77,-17.67,-16.43,-18.09,31.49,-1.33,6.41,7.46
EPS in Rs,-18.75,-18.79,-17.52,-15.66,-14.77,0.38,-8.78,-8.16,-8.99,15.65,-0.66,3.19,3.48
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
