Metric,Mar 2008,Mar 2009,Mar 2010,Mar 2011,Mar 2012,Mar 2013,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,330,681,568,690,"1,007",759,370,251,692,"3,353","6,525","6,721","6,688"
Expenses+,324,630,534,668,979,739,349,240,546,"2,539","4,793","4,768","4,685"
Operating Profit,6,51,34,22,28,21,21,11,146,814,"1,732","1,953","2,002"
OPM %,2%,7%,6%,3%,3%,3%,6%,4%,21%,24%,27%,29%,30%
Other Income+,59,5,10,24,17,16,26,20,-22,"-1,124",50,51,100
Interest,21,8,9,7,15,8,16,17,18,65,6,27,40
Depreciation,21,20,17,20,26,27,18,14,18,23,49,81,93
Profit before tax,23,29,18,19,4,2,13,0,88,-398,"1,727","1,896","1,969"
Tax %,1%,1%,0%,0%,0%,0%,-143%,0%,-11%,-27%,28%,24%,
Net Profit+,22,28,18,19,4,2,32,0,97,-289,"1,243","1,450","1,534"
EPS in Rs,1.01,1.28,0.80,0.84,0.17,0.09,1.41,0.01,2.64,-5.72,24.60,27.71,29.32
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,19%,0%,4%,4%,
