Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,618","2,038","2,599","1,576","1,035",942,734,909,948,"1,162","1,164",677,597
Expenses+,"1,260","1,383","1,654","1,212","1,010",885,687,945,"1,012","1,415","1,463",959,898
Operating Profit,358,655,945,365,26,57,47,-36,-63,-253,-299,-282,-301
OPM %,22%,32%,36%,23%,2%,6%,6%,-4%,-7%,-22%,-26%,-42%,-50%
Other Income+,16,147,101,25,48,41,-924,135,127,902,301,335,355
Interest,426,515,748,751,835,279,150,246,31,47,41,39,41
Depreciation,143,198,222,269,249,224,72,129,141,799,32,531,652
Profit before tax,-195,88,76,-630,"-1,010",-405,"-1,099",-276,-108,-197,-71,-518,-638
Tax %,13%,94%,68%,2%,-4%,-6%,1%,-5%,17%,-10%,-14%,1%,
Net Profit+,-216,6,25,-644,-966,-381,"-1,115",-262,-127,-177,-61,-523,-640
EPS in Rs,-30.33,-0.48,2.78,-98.22,-117.33,-46.60,-144.43,-31.63,-14.41,-19.47,-6.11,-64.40,-79.07
Dividend Payout %,-0%,-42%,0%,-0%,-0%,0%,0%,0%,0%,0%,0%,0%,
