Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,4,7,9,8,82,95,211,30,194,216,223,184,313
Expenses+,9,12,15,14,20,20,20,20,20,23,19,12,6
Operating Profit,-5,-5,-6,-6,61,75,191,11,174,194,203,172,307
OPM %,-115%,-72%,-72%,-69%,75%,79%,90%,35%,90%,90%,91%,94%,98%
Other Income+,53,63,108,21,1,1,3,0,0,1,1,45,58
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,1,3,1,1,1,2,2,2,2,2,2,2,1
Profit before tax,48,55,101,14,61,74,192,9,172,193,202,215,364
Tax %,0%,0%,0%,9%,1%,2%,6%,3%,17%,-1%,1%,0%,
Net Profit+,48,55,101,13,61,73,180,9,143,195,199,214,357
EPS in Rs,41.65,47.91,88.37,11.44,53.16,63.70,157.45,7.71,124.87,170.88,174.40,187.56,312.70
Dividend Payout %,60%,63%,34%,262%,62%,52%,32%,649%,64%,94%,97%,75%,
