Metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,211,121,229,212,191,163,156
Expenses+,216,150,232,202,229,264,275
Operating Profit,-5,-29,-3,10,-38,-101,-120
OPM %,-2%,-24%,-1%,5%,-20%,-62%,-77%
Other Income+,277,0,2,1,4,-10,14
Interest,27,24,10,6,5,8,10
Depreciation,8,10,7,8,10,19,21
Profit before tax,237,-64,-18,-3,-49,-139,-136
Tax %,2%,-17%,-11%,245%,15%,1%,
Net Profit+,232,-53,-16,-10,-56,-140,-139
EPS in Rs,"29,706.00",-8.30,-2.52,-2.03,-10.97,-27.05,-26.89
Dividend Payout %,0%,0%,0%,0%,0%,0%,
