Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,45,51,67,54,61,98,89,122,121,140,145,151,158
Expenses+,43,48,63,50,58,95,86,117,114,131,132,136,143
Operating Profit,2,3,4,4,3,3,3,5,7,10,13,15,15
OPM %,5%,6%,5%,7%,6%,3%,3%,4%,6%,7%,9%,10%,9%
Other Income+,0,0,0,0,1,2,2,1,2,4,2,3,3
Interest,1,1,1,1,2,1,1,1,1,1,1,1,1
Depreciation,1,1,1,1,1,2,2,2,2,3,3,3,3
Profit before tax,1,1,2,2,2,2,2,4,6,10,11,14,14
Tax %,34%,28%,40%,4%,35%,28%,26%,30%,26%,28%,27%,25%,
Net Profit+,1,1,1,2,1,2,2,3,5,7,8,10,10
EPS in Rs,0.25,0.25,0.35,0.25,0.15,0.19,0.20,0.31,0.58,0.87,1.00,1.22,1.25
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
