Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,122,123,145,165,172,157,194,311,256,315,245,268,325
Expenses+,119,119,141,160,166,152,189,295,240,298,229,255,311
Operating Profit,3,4,4,5,6,5,5,16,16,17,17,13,14
OPM %,2%,3%,3%,3%,3%,3%,2%,5%,6%,5%,7%,5%,4%
Other Income+,0,0,0,0,0,0,0,0,0,1,0,0,0
Interest,2,2,2,2,2,2,2,1,1,2,1,1,1
Depreciation,0,1,1,1,1,1,1,1,1,1,1,0,0
Profit before tax,1,1,1,2,2,2,2,14,14,15,15,11,13
Tax %,33%,32%,31%,35%,35%,28%,26%,27%,27%,27%,28%,27%,
Net Profit+,0,1,1,1,1,2,2,10,10,11,11,8,9
EPS in Rs,0.82,1.40,1.20,0.04,0.04,0.04,0.05,0.28,0.27,0.29,0.30,0.22,0.25
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
