Metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,24,18,30,27,24,18,46,42,33,52,46,25
Expenses+,2,6,3,9,9,14,5,8,8,36,10,12
Operating Profit,21,12,27,18,15,4,40,34,25,16,37,14
OPM %,90%,69%,90%,68%,61%,25%,88%,81%,76%,31%,79%,54%
Other Income+,0,0,0,0,17,0,45,273,69,0,23,53
Interest,0,0,0,0,0,1,0,0,0,0,0,0
Depreciation,0,0,0,0,0,1,1,1,1,1,1,1
Profit before tax,22,12,27,18,31,4,84,306,93,15,58,65
Tax %,19%,16%,18%,-6%,19%,-3%,27%,26%,-14%,21%,15%,
Net Profit+,19,40,63,19,25,4,61,226,107,12,50,50
EPS in Rs,11.23,23.87,37.58,11.21,14.92,2.21,36.41,135.23,63.73,7.03,29.74,29.64
Dividend Payout %,13%,6%,4%,13%,10%,23%,4%,2%,2%,21%,5%,
