Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,488,616,766,933,"1,145","1,241","1,436","1,622","2,690","2,404","2,902","3,300","3,234"
Expenses+,394,516,629,799,990,"1,062","1,266","1,365","2,039","2,107","2,525","2,829","2,785"
Operating Profit,94,100,137,133,155,178,170,257,652,297,377,471,448
OPM %,19%,16%,18%,14%,14%,14%,12%,16%,24%,12%,13%,14%,14%
Other Income+,0,4,1,1,2,3,2,2,-3,3,2,4,4
Interest,17,23,33,22,30,29,56,62,55,38,83,90,79
Depreciation,25,28,40,42,56,55,81,91,87,87,118,148,148
Profit before tax,52,54,65,70,71,97,36,107,506,176,178,237,225
Tax %,33%,24%,32%,18%,27%,34%,33%,35%,36%,6%,26%,26%,
Net Profit+,35,41,44,57,52,64,24,69,326,165,132,175,167
EPS in Rs,7.59,8.94,9.63,12.51,9.43,11.40,4.24,12.25,58.01,29.32,23.39,31.20,29.70
Dividend Payout %,10%,11%,10%,10%,13%,11%,14%,12%,4%,9%,11%,10%,
