Metric,Mar 20176m,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,216,"1,600","1,864","2,062","2,033","2,448","2,529","2,812","3,094","3,150"
Expenses+,193,"1,461","1,721","1,885","1,813","2,217","2,378","2,667","2,889","2,938"
Operating Profit,24,139,143,177,220,231,151,145,204,212
OPM %,11%,9%,8%,9%,11%,9%,6%,5%,7%,7%
Other Income+,1,3,8,4,6,6,27,33,11,10
Interest,3,24,23,26,21,20,22,23,24,23
Depreciation,2,20,23,40,43,47,54,59,79,80
Profit before tax,20,98,105,114,162,170,102,96,112,119
Tax %,41%,35%,34%,31%,26%,25%,26%,22%,26%,
Net Profit+,12,64,69,79,120,127,76,75,83,88
EPS in Rs,,3.02,3.27,3.71,5.64,5.97,3.56,3.53,3.90,4.13
Dividend Payout %,0%,33%,31%,31%,35%,34%,42%,43%,38%,
