Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,376,344,271,329,334,371,399,488,572,598,742,797,864
Expenses+,330,316,248,282,308,344,359,437,503,537,592,614,666
Operating Profit,46,28,23,47,26,27,40,52,69,62,150,183,197
OPM %,12%,8%,9%,14%,8%,7%,10%,11%,12%,10%,20%,23%,23%
Other Income+,5,6,7,1,5,9,-1,3,1,1,30,7,7
Interest,8,9,15,17,16,17,15,16,14,13,16,28,33
Depreciation,10,11,11,13,13,13,13,13,15,16,18,19,21
Profit before tax,33,15,5,18,2,7,11,25,41,33,146,142,150
Tax %,36%,39%,68%,57%,-148%,21%,-21%,29%,29%,30%,25%,28%,
Net Profit+,21,9,2,8,5,2,19,18,29,22,110,102,110
EPS in Rs,2.25,0.94,0.16,0.84,0.48,0.23,2.03,1.90,3.10,2.37,11.63,10.85,11.51
Dividend Payout %,0%,0%,0%,0%,0%,0%,10%,26%,3%,0%,0%,0%,
