Metric,Sep 201318m,Mar 201518m,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,-37,-9,12,20,24,47,74,44,46,47,67,89,112
Expenses+,37,8,4,-35,8,30,62,33,26,32,42,47,77
Operating Profit,-74,-17,8,55,16,17,12,11,20,15,24,42,35
OPM %,,,68%,281%,67%,36%,16%,24%,44%,32%,37%,47%,31%
Other Income+,1,6,8,-35,2,-0,-0,2,3,2,0,4,0
Interest,13,3,0,0,0,0,0,0,0,1,0,0,0
Depreciation,1,1,1,0,0,0,1,1,1,1,1,1,2
Profit before tax,-86,-15,15,19,17,16,11,11,21,15,23,45,33
Tax %,0%,1%,4%,31%,17%,23%,27%,23%,21%,26%,21%,14%,
Net Profit+,-87,-15,14,13,14,13,8,8,17,11,19,38,33
EPS in Rs,-32.75,-5.75,5.36,5.06,5.39,4.76,2.98,3.10,5.45,3.46,5.58,11.39,9.89
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,145%,41%,14%,18%,13%,
