Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"29,197","50,463","165,179","242,132","187,686","175,763","195,600","258,306","243,128","339,690","280,676","423,099","494,286"
Expenses+,"28,414","49,196","163,452","240,382","185,802","173,967","194,051","257,182","241,949","338,054","280,348","422,932","494,114"
Operating Profit,783,"1,266","1,727","1,750","1,884","1,796","1,549","1,124","1,179","1,636",328,167,172
OPM %,3%,3%,1%,1%,1%,1%,1%,0%,0%,0%,0%,0%,0%
Other Income+,1,0,42,48,62,66,7,3,40,24,242,118,106
Interest,363,478,578,430,537,442,222,142,90,81,139,133,140
Depreciation,16,62,79,65,68,74,73,90,91,101,64,45,47
Profit before tax,404,726,"1,112","1,303","1,342","1,346","1,261",894,"1,038","1,478",367,107,91
Tax %,11%,10%,4%,5%,6%,4%,4%,5%,3%,3%,9%,11%,
Net Profit+,357,655,"1,069","1,244","1,266","1,292","1,206",845,"1,009","1,432",336,95,73
EPS in Rs,12.11,22.18,36.21,42.12,42.87,43.76,40.84,28.61,34.18,48.51,11.36,3.21,2.49
Dividend Payout %,8%,5%,3%,3%,2%,2%,2%,4%,3%,0%,0%,0%,
