Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,928","2,211","2,407","2,258","2,345","2,553","2,157","2,038","2,695","3,511","3,537","4,382","4,872"
Expenses+,"1,729","1,988","2,174","2,023","2,101","2,318","2,011","1,951","2,519","3,190","3,208","4,033","4,515"
Operating Profit,198,223,233,235,244,236,146,87,176,321,329,349,357
OPM %,10%,10%,10%,10%,10%,9%,7%,4%,7%,9%,9%,8%,7%
Other Income+,-34,62,36,176,155,136,24,41,61,9,-45,234,277
Interest,43,47,45,44,46,50,53,40,34,50,71,86,89
Depreciation,84,106,114,106,118,126,128,120,129,142,137,168,185
Profit before tax,38,133,109,261,235,195,-10,-31,74,138,76,329,359
Tax %,-20%,28%,29%,30%,37%,41%,5%,93%,52%,37%,-98%,33%,
Net Profit+,47,97,79,182,149,116,-10,-60,35,87,150,221,259
EPS in Rs,30.42,49.69,45.90,93.41,91.25,72.65,-1.91,-35.42,16.91,43.61,86.69,145.13,168.86
Dividend Payout %,21%,15%,22%,9%,16%,26%,-420%,0%,71%,39%,29%,26%,
