Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"6,560","7,694","8,241","7,099","7,255","8,885","9,698","8,281","12,812","21,452","16,981","16,934","15,908"
Expenses+,"5,992","6,840","7,766","6,680","6,986","8,448","9,111","7,527","11,820","19,968","16,461","16,253","15,192"
Operating Profit,568,853,475,419,268,437,586,754,992,"1,483",520,681,716
OPM %,9%,11%,6%,6%,4%,5%,6%,9%,8%,7%,3%,4%,4%
Other Income+,73,66,81,66,61,104,26,133,263,236,204,169,179
Interest,137,123,147,96,64,157,239,181,130,234,190,259,239
Depreciation,145,263,148,141,137,156,171,175,184,212,233,263,269
Profit before tax,359,533,262,249,128,229,202,530,942,"1,273",301,328,387
Tax %,33%,35%,35%,28%,39%,42%,-3%,28%,25%,24%,25%,26%,
Net Profit+,241,346,169,179,79,133,207,384,702,966,225,242,286
EPS in Rs,4.37,6.27,3.06,3.25,1.43,2.41,3.75,6.96,12.73,17.52,4.08,4.39,5.18
Dividend Payout %,34%,29%,36%,34%,42%,32%,76%,43%,30%,30%,30%,30%,
