Metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,74,79,85,86,104,118,124,133,180,225
Expenses+,54,54,66,70,80,93,104,109,147,181
Operating Profit,20,25,19,16,24,25,20,25,34,45
OPM %,27%,31%,22%,18%,23%,21%,16%,19%,19%,20%
Other Income+,1,3,5,2,3,3,5,4,6,6
Interest,5,6,5,5,6,5,6,9,9,8
Depreciation,7,7,6,7,8,7,7,9,10,10
Profit before tax,9,14,13,5,13,15,12,11,21,32
Tax %,34%,35%,25%,40%,24%,27%,23%,24%,23%,
Net Profit+,6,9,9,3,10,11,9,8,16,25
EPS in Rs,6.13,3.26,3.62,1.18,3.66,3.91,3.21,2.96,5.51,8.44
Dividend Payout %,0%,0%,7%,43%,14%,13%,16%,17%,0%,
