Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,27,35,30,38,66,64,51,55,67,59,63,70,60
Expenses+,19,22,22,29,47,49,40,40,47,43,45,46,43
Operating Profit,8,13,8,9,19,15,12,15,19,16,17,24,18
OPM %,28%,38%,28%,24%,29%,24%,22%,27%,29%,28%,28%,35%,29%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,0,4
Interest,1,1,1,1,2,1,1,1,1,1,1,1,1
Depreciation,1,1,1,1,1,1,1,1,1,1,1,1,1
Profit before tax,6,11,6,8,16,13,10,14,18,15,16,22,20
Tax %,33%,35%,34%,33%,30%,34%,26%,26%,27%,26%,27%,26%,
Net Profit+,4,7,4,5,11,9,7,11,14,11,12,17,15
EPS in Rs,2.87,5.52,3.37,3.32,7.53,5.96,4.71,7.00,9.15,7.42,7.85,11.35,9.92
Dividend Payout %,0%,0%,36%,60%,33%,42%,32%,43%,33%,40%,38%,35%,
