Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,49,17,13,17,20,21,22,21,32,62,90,144,188
Expenses+,51,20,15,16,20,22,23,21,31,57,78,125,165
Operating Profit,-2,-3,-2,1,-0,-1,-1,1,1,5,13,19,23
OPM %,-4%,-20%,-14%,4%,-1%,-3%,-4%,4%,4%,8%,14%,13%,12%
Other Income+,0,0,0,0,0,0,0,0,0,0,0,1,1
Interest,0,0,0,0,0,1,1,1,0,1,2,2,2
Depreciation,0,0,0,0,0,0,0,0,0,1,1,2,2
Profit before tax,-2,-3,-2,1,-1,-1,-2,-0,1,3,10,16,19
Tax %,0%,0%,0%,13%,25%,5%,3%,38%,10%,3%,-0%,19%,
Net Profit+,-2,-3,-2,0,-1,-1,-2,-0,1,3,10,13,13
EPS in Rs,-5.66,-10.00,-5.22,1.42,-2.18,-3.60,-5.69,-0.32,1.14,4.53,10.23,10.11,10.83
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
