Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,263,275,246,200,214,256,400,315,583,590,488,665,667
Expenses+,249,265,257,191,203,243,392,312,567,576,481,652,650
Operating Profit,14,10,-12,9,11,13,7,3,16,15,7,13,16
OPM %,5%,4%,-5%,5%,5%,5%,2%,1%,3%,2%,1%,2%,2%
Other Income+,0,0,1,0,0,0,0,0,0,0,4,4,4
Interest,3,3,4,3,2,2,2,2,2,3,4,4,4
Depreciation,2,3,2,1,1,1,1,1,1,2,4,4,4
Profit before tax,9,4,-16,5,8,11,4,-0,14,10,3,10,13
Tax %,34%,42%,-0%,-6%,5%,32%,44%,"1,580%",32%,47%,60%,9%,
Net Profit+,6,2,-16,6,8,7,2,-1,9,5,1,9,12
EPS in Rs,188.60,19.97,-30.98,11.18,5.52,5.02,1.46,-0.60,6.46,3.25,0.78,5.54,7.20
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,23%,65%,9%,
