Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,28,33,37,44,63,78,83,84,85
Expenses+,56,55,60,61,65,75,78,83,86
Operating Profit,-29,-22,-22,-17,-2,3,5,1,-1
OPM %,-103%,-67%,-60%,-38%,-3%,4%,6%,1%,-1%
Other Income+,1,1,-31,12,-3,8,4,6,6
Interest,0,0,0,0,0,0,0,0,0
Depreciation,1,1,1,0,0,0,0,0,0
Profit before tax,-28,-22,-54,-5,-5,10,9,7,5
Tax %,0%,0%,0%,0%,0%,-233%,25%,244%,
Net Profit+,-28,-22,-54,-5,-5,33,6,-10,-11
EPS in Rs,-251.69,-195.61,-487.94,-48.32,-0.48,3.30,0.63,-0.90,-1.00
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,
