Metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,403,503,586,739,847,507,861,"1,234","1,255","1,233","1,224"
Expenses+,354,440,463,610,683,461,727,"1,003","1,042","1,022","1,018"
Operating Profit,49,64,124,129,164,46,134,231,212,211,206
OPM %,12%,13%,21%,17%,19%,9%,16%,19%,17%,17%,17%
Other Income+,0,0,7,-7,20,48,27,12,18,16,15
Interest,10,14,54,56,76,85,65,72,76,78,79
Depreciation,25,33,70,90,134,121,127,145,168,176,181
Profit before tax,14,16,7,-24,-25,-112,-32,26,-14,-27,-39
Tax %,57%,47%,188%,60%,31%,-18%,-21%,26%,-20%,-0%,
Net Profit+,6,9,-6,-38,-33,-92,-25,19,-11,-27,-39
EPS in Rs,4.55,3.34,-2.10,-13.72,-11.57,-26.65,-6.58,4.37,-3.43,-7.11,-10.07
Dividend Payout %,33%,0%,-48%,-7%,0%,0%,0%,0%,0%,0%,
