Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"5,826","6,130","6,366","6,505","6,802","7,957","7,405","8,889","13,127","14,663","13,364","15,036","15,283"
Expenses+,"5,137","5,395","5,561","5,630","5,921","6,969","6,324","7,085","10,956","12,913","11,976","13,344","13,573"
Operating Profit,688,735,805,874,881,988,"1,081","1,804","2,171","1,749","1,387","1,692","1,710"
OPM %,12%,12%,13%,13%,13%,12%,15%,20%,17%,12%,10%,11%,11%
Other Income+,29,18,38,25,22,19,28,23,71,-21,-745,-51,146
Interest,233,187,176,187,197,218,225,229,322,473,536,698,735
Depreciation,267,279,286,318,352,381,403,456,537,599,655,695,708
Profit before tax,217,286,382,395,354,409,481,"1,142","1,382",656,-549,248,413
Tax %,7%,11%,17%,11%,12%,23%,23%,26%,20%,27%,26%,43%,
Net Profit+,202,256,317,351,312,315,371,844,"1,099",481,-691,142,299
EPS in Rs,27.92,35.28,43.46,48.26,43.00,43.46,51.21,116.73,152.09,66.57,-95.69,19.71,41.37
Dividend Payout %,9%,8%,7%,7%,5%,5%,4%,2%,2%,5%,-1%,15%,
