Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,494","1,673","1,723","1,803","1,922","2,110","2,119","1,763","2,164","2,649","2,889","3,161","3,176"
Expenses+,"1,285","1,396","1,451","1,584","1,688","1,865","1,815","1,515","1,788","2,245","2,494","2,587","2,520"
Operating Profit,209,277,272,220,235,245,303,248,376,404,394,574,656
OPM %,14%,17%,16%,12%,12%,12%,14%,14%,17%,15%,14%,18%,21%
Other Income+,16,8,8,9,14,8,6,13,21,171,21,25,22
Interest,61,60,32,25,12,11,37,37,44,56,79,96,100
Depreciation,87,88,90,98,98,101,168,160,144,159,216,254,258
Profit before tax,77,138,158,105,139,140,104,64,209,360,121,250,319
Tax %,26%,34%,34%,33%,34%,35%,14%,29%,23%,10%,26%,27%,
Net Profit+,57,91,104,70,93,92,90,45,160,323,89,183,234
EPS in Rs,3.33,5.33,5.71,3.86,5.12,5.09,4.99,2.55,9.06,18.29,5.08,10.46,13.36
Dividend Payout %,60%,38%,44%,52%,0%,54%,70%,78%,44%,14%,0%,72%,
