Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,"1,699","1,718","1,570","1,415","1,372","1,253","1,469","1,006",886,864,953,932,941
Expenses+,"1,710","1,760","1,640","1,403","1,336","1,259","1,464",986,931,906,976,913,937
Operating Profit,-11,-43,-70,12,36,-6,5,20,-46,-42,-23,20,4
OPM %,-1%,-2%,-4%,1%,3%,-0%,0%,2%,-5%,-5%,-2%,2%,0%
Other Income+,30,4,8,5,10,0,8,6,13,7,179,33,59
Interest,120,121,143,154,142,144,156,156,158,158,156,156,157
Depreciation,91,91,92,90,79,79,77,77,72,75,75,68,68
Profit before tax,-192,-250,-297,-226,-175,-229,-220,-207,-262,-268,-74,-172,-162
Tax %,0%,0%,0%,0%,0%,1%,-2%,0%,0%,2%,0%,0%,0%
Net Profit+,-192,-250,-298,-226,-175,-230,-216,-207,-262,-273,-74,-172,-162
EPS in Rs,-0.39,-0.50,-0.60,-0.46,-0.35,-0.46,-0.43,-0.42,-0.53,-0.55,-0.15,-0.35,-0.33
Raw PDF,,,,,,,,,,,,,
