Metric,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,TTM
Sales+,"1,221","1,406","1,099",792,833,667,812,"1,117",751,646,595,493,768
Expenses+,"1,113","1,303","1,009",699,755,671,757,"1,140",748,673,"1,062",500,902
Operating Profit,108,103,90,93,78,-3,55,-23,2,-27,-467,-7,-134
OPM %,9%,7%,8%,12%,9%,-0%,7%,-2%,0%,-4%,-78%,-1%,-18%
Other Income+,9,5,1,-12,16,-2,14,-44,73,43,80,15,12
Interest,72,51,42,63,109,170,179,161,140,107,28,19,11
Depreciation,14,16,13,16,16,24,23,26,23,25,29,33,37
Profit before tax,31,42,36,3,-31,-199,-132,-254,-89,-115,-445,-44,-170
Tax %,83%,60%,43%,248%,26%,-14%,6%,3%,-26%,-8%,-5%,5%,
Net Profit+,5,17,20,-4,-39,-172,-140,-261,-66,-106,-423,-46,-158
EPS in Rs,0.30,0.38,1.30,-0.13,-1.32,-10.91,-7.41,-15.32,-3.85,-5.20,-26.89,-2.79,-10.11
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
