Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,87,130,111,121,346,184,290,123,55,133,218,293,166
Expenses+,92,120,103,113,313,152,269,129,66,116,200,281,136
Operating Profit,-5,10,9,8,33,33,20,-6,-12,17,18,12,29
OPM %,-6%,8%,8%,7%,10%,18%,7%,-5%,-22%,13%,8%,4%,18%
Other Income+,5,5,5,8,5,5,7,5,5,2,12,10,11
Interest,1,1,1,1,1,0,0,2,1,1,-0,0,0
Depreciation,2,2,2,2,2,3,2,3,3,3,3,3,3
Profit before tax,-3,13,11,13,35,35,25,-5,-10,15,26,18,36
Tax %,-33%,29%,9%,16%,23%,20%,30%,19%,-28%,27%,23%,30%,24%
Net Profit+,-2,9,10,11,27,28,17,-5,-8,11,20,13,28
EPS in Rs,-0.18,0.88,1.01,1.06,2.72,2.77,1.73,-0.54,-0.75,1.08,2.02,1.27,2.74
Raw PDF,,,,,,,,,,,,,
