Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,904","2,802","2,975","2,494","3,239","3,474","3,025","3,597","4,337","3,899","4,054","4,022","4,001"
Expenses+,"2,773","2,728","2,825","2,341","2,986","3,237","2,942","3,419","4,012","3,530","3,609","3,516","3,495"
Operating Profit,131,74,149,153,253,238,84,178,325,369,445,506,507
OPM %,5%,3%,5%,6%,8%,7%,3%,5%,8%,9%,11%,13%,13%
Other Income+,60,60,42,63,25,23,49,20,6,22,42,24,24
Interest,127,76,56,55,48,60,41,39,65,49,42,54,49
Depreciation,54,53,57,63,65,71,72,71,66,64,64,71,77
Profit before tax,10,5,79,98,164,130,19,87,200,278,382,404,404
Tax %,39%,-9%,18%,14%,21%,52%,-229%,21%,36%,43%,26%,28%,
Net Profit+,6,6,64,85,130,63,64,69,129,158,282,293,296
EPS in Rs,0.73,0.71,7.73,10.18,15.57,7.58,7.67,8.27,15.46,18.96,33.83,35.12,35.52
Dividend Payout %,68%,70%,26%,39%,26%,46%,39%,36%,32%,26%,30%,29%,
