Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,26,60,179,318,532,655,680,612,598
Expenses+,11,31,127,265,476,633,562,485,467
Operating Profit,15,28,53,54,56,22,118,127,131
OPM %,58%,47%,29%,17%,11%,3%,17%,21%,22%
Other Income+,0,0,0,-0,-2,1,18,6,4
Interest,10,9,17,24,51,84,105,110,109
Depreciation,0,8,12,15,21,25,30,32,32
Profit before tax,4,11,24,15,-18,-85,1,-9,-6
Tax %,37%,42%,43%,59%,18%,2%,599%,15%,
Net Profit+,3,7,14,6,-21,-87,-6,-10,-10
EPS in Rs,0.89,0.17,0.44,0.25,-0.07,-1.07,0.30,0.04,0.01
Dividend Payout %,13%,48%,5%,8%,-28%,-2%,7%,50%,
