Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,776,749,980,"1,038","1,179","1,130","1,105","1,151","1,214","1,576","1,749","1,784","2,002"
Expenses+,604,591,792,823,942,910,898,954,"1,021","1,377","1,506","1,519","1,700"
Operating Profit,172,158,188,214,238,220,207,197,193,199,244,265,302
OPM %,22%,21%,19%,21%,20%,19%,19%,17%,16%,13%,14%,15%,15%
Other Income+,2,5,5,4,5,4,6,5,7,-6,-5,-3,9
Interest,23,30,42,42,42,44,46,49,41,58,68,66,77
Depreciation,55,54,60,68,67,70,72,72,76,103,95,102,109
Profit before tax,96,80,92,107,134,109,94,81,82,31,76,94,125
Tax %,35%,35%,12%,25%,22%,26%,25%,26%,25%,59%,12%,26%,28%
Net Profit+,62,52,80,81,104,81,71,59,62,13,67,70,91
EPS in Rs,29.57,24.43,36.76,35.25,44.75,34.61,29.50,22.30,25.86,5.42,27.99,29.18,38.09
Raw PDF,,,,,,,,,,,,,
