Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,17.61,15.17,5.10,17.32,7.66,28.93,18.11,6.13,3.08,1.96,0.47,2.61,2.45
Expenses+,16.76,19.36,7.31,19.35,12.65,33.92,22.90,6.78,4.55,3.52,3.03,3.24,3.23
Operating Profit,0.85,-4.19,-2.21,-2.03,-4.99,-4.99,-4.79,-0.65,-1.47,-1.56,-2.56,-0.63,-0.78
OPM %,4.83%,-27.62%,-43.33%,-11.72%,-65.14%,-17.25%,-26.45%,-10.60%,-47.73%,-79.59%,-544.68%,-24.14%,-31.84%
Other Income+,1.56,1.52,1.25,3.45,0.97,0.90,0.87,0.95,1.29,1.97,0.90,0.88,0.87
Interest,0.14,0.40,0.20,0.44,0.24,0.66,0.43,0.46,0.63,0.70,0.86,0.90,0.85
Depreciation,0.61,0.29,0.25,0.45,0.31,0.22,0.16,0.11,0.09,0.08,0.07,0.06,0.07
Profit before tax,1.66,-3.36,-1.41,0.53,-4.57,-4.97,-4.51,-0.27,-0.90,-0.37,-2.59,-0.71,-0.83
Tax %,16.27%,0.00%,0.00%,0.00%,-3.28%,0.00%,0.00%,0.00%,4.44%,0.00%,0.00%,0.00%,
Net Profit+,1.39,-3.36,-1.41,0.53,-4.43,-4.97,-4.50,-0.27,-0.94,-0.37,-2.59,-0.72,-0.82
EPS in Rs,0.69,-1.68,-0.70,0.26,-2.21,-2.48,-2.24,-0.13,-0.47,-0.18,-1.29,-0.36,-0.41
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
