Metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"4,080","4,479","4,520","4,804","5,394","6,870","7,313","7,864","7,744"
Expenses+,"3,549","3,895","3,921","4,083","4,625","6,099","6,599","6,975","6,941"
Operating Profit,531,584,599,720,769,770,714,888,803
OPM %,13%,13%,13%,15%,14%,11%,10%,11%,10%
Other Income+,31,48,59,76,60,67,67,69,44
Interest,64,60,41,43,35,109,79,48,35
Depreciation,13,13,27,30,42,116,129,153,161
Profit before tax,485,560,591,724,752,612,573,756,650
Tax %,33%,28%,16%,15%,23%,22%,23%,25%,
Net Profit+,324,401,496,617,578,476,442,564,483
EPS in Rs,5.17,6.40,7.91,9.82,9.13,7.28,6.84,8.64,7.35
Dividend Payout %,34%,31%,0%,56%,27%,41%,44%,35%,
