Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"2,206","2,736","3,094","3,586","3,914","4,618","4,427","4,132","4,534","6,016","7,147","7,360","7,328"
Expenses+,"1,796","2,335","2,680","3,109","3,394","3,985","3,881","3,557","3,717","5,013","5,844","6,222","6,310"
Operating Profit,410,401,414,477,520,633,546,575,818,"1,003","1,303","1,138","1,019"
OPM %,19%,15%,13%,13%,13%,14%,12%,14%,18%,17%,18%,15%,14%
Other Income+,17,122,112,79,147,131,158,140,112,35,-2,97,165
Interest,1,6,16,17,20,33,49,43,39,100,116,93,72
Depreciation,72,71,89,95,105,111,188,194,192,257,267,267,276
Profit before tax,354,446,421,444,541,620,468,477,698,681,918,875,836
Tax %,29%,25%,24%,24%,26%,23%,27%,24%,25%,24%,23%,26%,
Net Profit+,266,351,320,340,403,477,341,364,522,514,703,648,614
EPS in Rs,23.76,31.43,28.94,30.54,36.00,42.33,31.14,33.06,47.35,46.52,61.57,55.45,51.70
Dividend Payout %,21%,25%,24%,34%,36%,35%,48%,51%,51%,56%,49%,47%,
