Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,270,273,214,273,261,210,185,178,188,187,183,184,183
Expenses+,170,171,154,177,161,154,137,131,154,138,142,145,143
Operating Profit,100,102,60,96,100,56,48,47,34,49,41,39,40
OPM %,37%,37%,28%,35%,38%,27%,26%,27%,18%,26%,22%,21%,22%
Other Income+,10,12,19,14,12,13,61,1,19,-16,211,12,9
Interest,2,3,2,2,3,3,3,2,2,1,1,1,1
Depreciation,15,15,15,16,17,16,13,12,14,13,13,12,12
Profit before tax,93,96,62,92,92,50,93,35,38,19,237,38,36
Tax %,27%,12%,17%,26%,25%,30%,22%,38%,28%,-90%,31%,22%,30%
Net Profit+,69,85,51,68,69,35,72,22,27,36,165,29,25
EPS in Rs,2.55,3.17,1.91,2.54,2.59,1.29,2.70,0.81,1.01,1.33,6.15,1.10,0.94
Raw PDF,,,,,,,,,,,,,
