Metric,Mar 2012,Mar 2013,Mar 2014,Mar 2015,Mar 2016,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,66.86,57.40,43.94,39.09,35.58,62.82,65.97,110.34,103.97,71.41,56.99
Expenses+,56.54,49.64,38.12,34.16,31.12,37.20,43.90,54.72,81.29,65.95,61.62
Operating Profit,10.32,7.76,5.82,4.93,4.46,25.62,22.07,55.62,22.68,5.46,-4.63
OPM %,15.44%,13.52%,13.25%,12.61%,12.54%,40.78%,33.45%,50.41%,21.81%,7.65%,-8.12%
Other Income+,0.38,0.23,0.30,0.18,0.36,2.05,1.79,2.65,2.56,3.15,4.20
Interest,3.59,3.81,3.26,3.41,2.75,0.08,0.09,0.14,0.20,0.34,0.34
Depreciation,2.16,2.39,2.43,2.03,1.99,1.79,1.67,1.78,2.85,3.49,3.60
Profit before tax,4.95,1.79,0.43,-0.33,0.08,25.80,22.10,56.35,22.19,4.78,-4.37
Tax %,28.89%,25.14%,9.30%,378.79%,-212.50%,18.64%,24.34%,25.64%,28.39%,38.08%,
Net Profit+,3.52,1.35,0.39,-1.59,0.25,20.99,16.71,41.90,15.47,2.73,-4.95
EPS in Rs,3.60,1.38,0.40,-1.63,0.26,21.46,17.08,42.83,15.81,2.79,-5.05
Dividend Payout %,27.78%,3.62%,0.00%,0.00%,0.00%,23.30%,17.56%,7.00%,15.80%,35.82%,
