Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,70,64,73,57,69,63,65,54,54,53,58,72,83
Expenses+,52,46,54,44,54,50,52,45,43,44,50,58,66
Operating Profit,19,18,19,13,14,13,13,9,11,9,9,14,17
OPM %,26%,28%,26%,23%,21%,20%,20%,16%,21%,16%,15%,20%,20%
Other Income+,3,1,3,5,5,5,5,5,5,5,6,5,5
Interest,0,0,0,0,0,0,0,0,0,0,0,0,0
Depreciation,3,3,4,4,5,5,6,6,6,6,7,7,7
Profit before tax,18,16,18,14,14,13,12,8,11,7,7,12,15
Tax %,26%,26%,26%,26%,26%,26%,25%,26%,26%,26%,27%,26%,27%
Net Profit+,13,12,13,10,11,9,9,6,8,5,5,9,11
EPS in Rs,4.88,4.38,4.40,3.41,3.51,3.06,3.01,1.95,2.56,1.71,1.75,2.92,3.52
Raw PDF,,,,,,,,,,,,,
