Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Sales+,340,285,406,328,413,332,500,334,447,381,549,399,472
Expenses+,310,266,398,302,371,299,443,298,398,339,493,356,412
Operating Profit,30,19,8,26,41,32,57,36,49,42,57,43,60
OPM %,9%,7%,2%,8%,10%,10%,11%,11%,11%,11%,10%,11%,13%
Other Income+,0,1,1,1,1,1,2,1,1,2,2,1,2
Interest,4,4,3,3,4,5,6,7,7,7,7,6,6
Depreciation,4,5,4,4,4,6,7,8,9,9,11,9,10
Profit before tax,23,11,2,19,33,23,46,22,34,27,41,28,46
Tax %,20%,22%,76%,22%,26%,22%,27%,26%,23%,26%,27%,23%,25%
Net Profit+,17,8,0,15,25,18,34,16,26,20,30,22,35
EPS in Rs,3.05,1.36,0.10,2.56,4.38,3.12,5.83,2.70,4.67,3.52,5.16,3.76,6.20
Raw PDF,,,,,,,,,,,,,
