Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,248,367,106,282,773,"1,135","1,292","1,320"
Expenses+,225,322,106,260,674,"1,041","1,203","1,227"
Operating Profit,23,45,-0,23,99,94,89,93
OPM %,9%,12%,-0%,8%,13%,8%,7%,7%
Other Income+,0,1,2,1,3,3,9,9
Interest,0,1,1,1,1,1,4,4
Depreciation,1,2,2,2,4,4,4,4
Profit before tax,22,44,-0,20,97,92,90,95
Tax %,30%,27%,625%,21%,26%,26%,28%,
Net Profit+,15,32,-1,16,73,69,65,69
EPS in Rs,32.15,66.69,-3.05,3.11,13.88,13.01,12.28,13.05
Dividend Payout %,0%,0%,0%,0%,0%,15%,0%,
