Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,48,43,47,48,55,72,93,98,116,143,111,144,147
Expenses+,45,38,42,44,50,67,88,92,109,135,102,130,133
Operating Profit,3,5,6,4,5,5,5,6,8,8,9,13,14
OPM %,6%,12%,12%,8%,9%,6%,5%,7%,6%,5%,8%,9%,9%
Other Income+,0,0,0,1,1,1,0,0,0,0,0,0,0
Interest,2,3,3,2,2,2,2,3,3,3,4,4,4
Depreciation,1,2,2,2,2,2,2,3,3,3,3,3,3
Profit before tax,1,1,0,1,2,1,1,2,2,2,3,7,7
Tax %,77%,58%,94%,-93%,1%,34%,55%,13%,36%,29%,28%,22%,
Net Profit+,0,0,0,1,2,1,0,1,1,1,2,6,5
EPS in Rs,0.12,0.45,0.01,0.55,0.65,0.35,0.14,0.53,0.56,0.49,0.88,2.26,2.19
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
