Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,491,472,506,564,539,702,761,949,"1,699","1,274","1,223","1,499","1,543"
Expenses+,510,466,500,512,463,623,667,783,"1,299","1,114","1,060","1,321","1,351"
Operating Profit,-19,6,6,52,76,79,93,166,399,160,163,179,192
OPM %,-4%,1%,1%,9%,14%,11%,12%,18%,24%,13%,13%,12%,12%
Other Income+,7,25,-2,107,21,0,1,43,21,-11,5,3,22
Interest,58,60,55,47,36,38,38,28,14,15,10,17,15
Depreciation,68,71,72,34,32,30,43,35,35,40,39,41,42
Profit before tax,-138,-98,-123,78,28,12,12,146,372,95,118,124,156
Tax %,0%,-1%,1%,0%,16%,-405%,83%,38%,29%,20%,17%,21%,
Net Profit+,-138,-98,-124,78,24,58,2,90,265,76,98,98,121
EPS in Rs,-12.89,-9.12,-11.06,6.98,2.08,5.23,0.27,8.02,23.63,6.79,8.84,8.73,10.83
Dividend Payout %,-0%,-0%,-0%,-0%,-0%,-0%,-0%,4%,3%,10%,8%,8%,
