Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,547,521,539,"1,140","1,356","1,538","1,515","1,216","1,958","2,381","1,994","1,928","1,840"
Expenses+,476,470,491,"1,012","1,195","1,300","1,307","1,038","1,644","2,159","1,758","1,786","1,704"
Operating Profit,70,51,47,128,161,239,209,178,314,222,236,142,135
OPM %,13%,10%,9%,11%,12%,16%,14%,15%,16%,9%,12%,7%,7%
Other Income+,3,8,6,24,11,4,-23,92,-4,2,3,4,10
Interest,19,15,16,70,84,107,117,95,83,63,67,61,67
Depreciation,32,27,27,56,64,69,73,72,74,68,60,52,53
Profit before tax,23,17,11,26,24,66,-5,103,153,93,112,33,25
Tax %,20%,30%,-158%,27%,32%,34%,131%,50%,25%,26%,25%,22%,
Net Profit+,19,12,28,19,16,44,-10,51,115,69,84,26,19
EPS in Rs,3.08,2.01,4.61,3.15,2.71,7.27,-1.73,8.44,18.98,11.43,13.93,4.30,3.06
Dividend Payout %,20%,30%,13%,19%,44%,16%,0%,0%,8%,14%,11%,37%,
