Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,28,242,1,1,69,"1,041",186,197,96,61,82,83
Expenses+,-24,-13,197,-67,-101,-75,930,171,155,126,166,168,205
Operating Profit,25,41,45,68,102,143,111,15,41,-30,-105,-85,-122
OPM %,"18,892%",147%,19%,"7,349%","6,960%",209%,11%,8%,21%,-31%,-170%,-104%,-148%
Other Income+,21,45,86,112,117,128,187,145,45,35,33,53,48
Interest,51,96,137,163,216,269,371,152,68,58,95,113,109
Depreciation,0,1,1,0,0,1,2,2,1,1,1,1,1
Profit before tax,-6,-11,-7,16,3,2,-76,6,17,-55,-168,-147,-185
Tax %,2%,0%,1%,23%,-40%,74%,-32%,91%,13%,-25%,-27%,-14%,
Net Profit+,8,12,-4,13,4,0,-52,1,15,-39,-123,-126,-163
EPS in Rs,3.11,5.05,-1.74,5.19,1.49,0.18,-18.54,0.22,3.97,-10.21,-32.48,-33.36,-41.29
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
