Metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,0,"2,193","2,457","3,053","3,532","3,816","4,127","4,303"
Expenses+,9,655,602,663,874,915,989,"1,529"
Operating Profit,-9,"1,538","1,855","2,390","2,658","2,901","3,137","2,773"
OPM %,,70%,75%,78%,75%,76%,76%,64%
Other Income+,0,168,115,132,109,161,167,203
Interest,0,382,645,829,976,"1,087","1,329","1,448"
Depreciation,0,528,571,796,"1,128",885,"1,783","1,183"
Profit before tax,-9,796,754,896,662,"1,089",193,346
Tax %,0%,4%,7%,1%,24%,11%,-742%,
Net Profit+,-9,766,698,888,506,964,"1,624",303
EPS in Rs,-0.12,9.92,7.37,9.37,5.34,10.17,17.14,3.20
Dividend Payout %,0%,243%,296%,235%,412%,213%,136%,
