Metric,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025
Revenue+,"1,002","1,063","1,156","1,254","1,359","1,429","1,445","1,501","1,555","1,612","1,644","1,649","1,617"
Interest,393,416,449,511,593,644,659,699,753,794,815,863,844
Expenses+,602,571,685,662,680,715,758,974,"1,021",967,"1,002","1,375",969
Financing Profit,7,77,22,81,86,70,28,-173,-219,-149,-172,-589,-195
Financing Margin %,1%,7%,2%,6%,6%,5%,2%,-12%,-14%,-9%,-10%,-36%,-12%
Other Income+,145,153,239,171,181,205,240,209,239,238,225,292,229
Depreciation,0,0,0,0,0,0,0,0,0,0,0,0,0
Profit before tax,152,229,261,252,267,276,268,36,20,90,53,-297,34
Tax %,24%,26%,27%,24%,26%,27%,23%,28%,36%,26%,21%,-25%,28%
Net Profit+,116,170,190,191,198,202,208,26,13,66,42,-224,24
EPS in Rs,0.93,1.36,1.71,1.72,1.77,1.79,1.83,0.23,0.11,0.58,0.37,-1.96,0.21
Gross NPA %,3.91%,3.63%,2.76%,2.75%,2.27%,2.53%,2.61%,2.73%,2.95%,2.97%,2.89%,2.92%,2.92%
Net NPA %,1.97%,1.82%,1.21%,1.18%,0.97%,1.13%,1.17%,0.83%,0.97%,0.96%,0.98%,0.98%,0.98%
Raw PDF,,,,,,,,,,,,,
