Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,"1,859","1,911","1,720","2,194","1,208","1,309","1,344",472,328,61,20,10,9
Expenses+,"1,308","1,684","1,441","1,815",962,977,"1,084",442,265,28,87,60,59
Operating Profit,550,227,279,379,246,332,261,30,63,32,-67,-50,-50
OPM %,30%,12%,16%,17%,20%,25%,19%,6%,19%,53%,-331%,-483%,-529%
Other Income+,128,243,199,-69,"-1,201","-3,430","-1,342",13,319,"1,764",75,807,859
Interest,399,477,542,467,387,396,433,489,356,132,81,101,87
Depreciation,478,424,464,390,304,282,172,174,106,41,32,1,1
Profit before tax,-199,-432,-528,-547,"-1,646","-3,776","-1,686",-620,-81,"1,624",-105,657,721
Tax %,23%,6%,4%,7%,0%,0%,0%,0%,0%,-2%,-1%,0%,
Net Profit+,-244,-459,-550,-583,"-1,685","-3,771","-1,687",-621,-78,"1,650",-104,660,722
EPS in Rs,-11.88,-22.36,-26.58,-28.19,-80.44,-182.40,-81.24,-29.97,-3.79,79.73,-5.71,31.89,34.90
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,
