Metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,TTM
Sales+,12.97,22.92,39.65,30.62,20.39,10.58,9.47,7.16,8.75,6.56,2.58,13.63,18.93
Expenses+,10.66,21.40,38.13,29.39,15.69,10.50,12.95,7.66,12.62,9.75,4.66,17.90,23.93
Operating Profit,2.31,1.52,1.52,1.23,4.70,0.08,-3.48,-0.50,-3.87,-3.19,-2.08,-4.27,-5.00
OPM %,17.81%,6.63%,3.83%,4.02%,23.05%,0.76%,-36.75%,-6.98%,-44.23%,-48.63%,-80.62%,-31.33%,-26.41%
Other Income+,0.23,0.42,0.35,0.16,0.15,1.36,1.10,1.64,0.26,3.14,3.42,5.22,5.29
Interest,1.11,0.92,0.94,0.70,0.70,0.88,0.06,0.06,0.04,0.04,0.02,0.02,0.03
Depreciation,0.48,0.48,0.33,0.27,0.27,0.34,0.27,0.21,0.21,0.19,0.17,0.23,0.24
Profit before tax,0.95,0.54,0.60,0.42,3.88,0.22,-2.71,0.87,-3.86,-0.28,1.15,0.70,0.02
Tax %,32.63%,29.63%,33.33%,28.57%,28.87%,0.00%,0.74%,10.34%,2.33%,21.43%,15.65%,1.43%,
Net Profit+,0.63,0.38,0.41,0.30,2.77,0.22,-2.72,0.79,-3.95,-0.33,0.97,0.69,0.17
EPS in Rs,0.00,0.00,0.00,0.00,0.02,0.00,-0.02,0.01,-0.03,-0.00,0.01,0.00,0.01
Dividend Payout %,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,
